dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
58;0;2022-09-08;165581;161690;126662;25293;135061
59;0;2022-09-08;2027963;1952149;1419468;206644;1565668
60;0;2022-09-08;638024;612180;436269;61072;480108
61;0;2022-09-08;227021;221208;169954;26193;181283
62;0;2022-09-08;1198204;1164046;870161;125908;949291
63;0;2022-09-08;528063;512683;384137;59082;413273
64;0;2022-09-08;563296;546928;412500;68782;435678
65;0;2022-09-08;184571;178944;135214;21390;144119
66;0;2022-09-08;377708;362687;269514;48678;286551
67;0;2022-09-08;904975;872428;641795;90501;696926
68;0;2022-09-08;567372;546230;395011;50376;430978
69;0;2022-09-08;1462383;1392286;959426;140471;1086354
70;0;2022-09-08;184316;178828;133350;18474;144325
71;0;2022-09-08;446260;433784;326402;57709;353633
72;0;2022-09-08;464694;452191;342289;56263;365138
73;0;2022-09-08;346323;331802;230172;33130;255963
74;0;2022-09-08;607033;576605;381800;47899;431272
75;0;2022-09-08;1800498;1718210;1242940;186146;1393967
76;0;2022-09-08;1020577;990385;747383;124304;803497
77;0;2022-09-08;1080533;1026198;707339;94221;790553
78;0;2022-09-08;1151721;1101023;789380;120013;866310
79;0;2022-09-08;310588;303221;233748;36644;248420
80;0;2022-09-08;462865;450154;342174;54883;368059
81;0;2022-09-08;307957;296988;220927;33945;237924
82;0;2022-09-08;202380;194930;143025;21438;153315
83;0;2022-09-08;845818;806868;580572;99083;633731
84;0;2022-09-08;429078;407329;284690;44421;314816
85;0;2022-09-08;590095;577612;445673;76370;470279
86;0;2022-09-08;349888;341392;264765;46918;278500
87;0;2022-09-08;302495;294466;230602;41400;241625
88;0;2022-09-08;290690;281693;208629;30773;227974
89;0;2022-09-08;263971;255677;191824;33725;204194
90;0;2022-09-08;105063;101204;74245;10560;80074
91;0;2022-09-08;991759;939885;647856;92909;720351
92;0;2022-09-08;1277570;1218763;873015;118411;974210
93;0;2022-09-08;1126632;1030987;632537;63187;736664
94;0;2022-09-08;1053393;992612;675832;92371;765762
95;0;2022-09-08;926686;866244;570390;72502;648547
971;0;2022-09-08;150709;138078;82765;5625;87492
972;0;2022-09-08;150185;138292;87886;5721;92029
973;0;2022-09-08;99852;84229;41300;1772;45704
974;0;2022-09-08;578832;550386;355823;20278;367715
976;0;2022-09-08;162446;135115;43551;517;48177
977;0;2022-09-08;8833;8208;5318;223;5863
978;0;2022-09-08;14707;12773;6251;416;6805
